0 	 1
0.1 	 0.995004
0.2 	 0.980067
0.3 	 0.955336
0.4 	 0.921061
0.5 	 0.877583
0.6 	 0.825336
0.7 	 0.764842
0.8 	 0.696707
0.9 	 0.62161
1 	 0.540302
1.1 	 0.453596
1.2 	 0.362358
1.3 	 0.267499
1.4 	 0.169967
1.5 	 0.0707372
1.6 	 -0.0291995
1.7 	 -0.128844
1.8 	 -0.227202
1.9 	 -0.32329
2 	 -0.416147
2.1 	 -0.504846
2.2 	 -0.588501
2.3 	 -0.666276
2.4 	 -0.737394
2.5 	 -0.801144
2.6 	 -0.856889
2.7 	 -0.904072
2.8 	 -0.942222
2.9 	 -0.970958
3 	 -0.989992
3.1 	 -0.999135
3.2 	 -0.998295
3.3 	 -0.98748
3.4 	 -0.966798
3.5 	 -0.936457
3.6 	 -0.896758
3.7 	 -0.8481
3.8 	 -0.790968
3.9 	 -0.725932
4 	 -0.653644
4.1 	 -0.574824
4.2 	 -0.490261
4.3 	 -0.400799
4.4 	 -0.307333
4.5 	 -0.210796
4.6 	 -0.112153
4.7 	 -0.0123887
4.8 	 0.087499
4.9 	 0.186512
5 	 0.283662
5.1 	 0.377978
5.2 	 0.468517
5.3 	 0.554374
5.4 	 0.634693
5.5 	 0.70867
5.6 	 0.775566
5.7 	 0.834713
5.8 	 0.88552
5.9 	 0.927478
6 	 0.96017
6.1 	 0.983268
6.2 	 0.996542
6.3 	 0.999859
6.4 	 0.993185
6.5 	 0.976588
6.6 	 0.950233
6.7 	 0.914383
6.8 	 0.869397
6.9 	 0.815725
7 	 0.753902
7.1 	 0.684547
7.2 	 0.608351
7.3 	 0.526078
7.4 	 0.438547
7.5 	 0.346635
7.6 	 0.25126
7.7 	 0.153374
7.8 	 0.0539554
7.9 	 -0.0460021
8 	 -0.1455
8.1 	 -0.243544
8.2 	 -0.339155
8.3 	 -0.431377
8.4 	 -0.519289
8.5 	 -0.602012
8.6 	 -0.67872
8.7 	 -0.748647
8.8 	 -0.811093
8.9 	 -0.865435
9 	 -0.91113
9.1 	 -0.947722
9.2 	 -0.974844
9.3 	 -0.992225
9.4 	 -0.999693
9.5 	 -0.997172
9.6 	 -0.984688
9.7 	 -0.962365
9.8 	 -0.930426
9.9 	 -0.889191
10 	 -0.839072
10.1 	 -0.780568
10.2 	 -0.714266
10.3 	 -0.640826
10.4 	 -0.560984
10.5 	 -0.475537
10.6 	 -0.385338
10.7 	 -0.291289
10.8 	 -0.19433
10.9 	 -0.0954289
11 	 0.0044257
11.1 	 0.104236
11.2 	 0.203005
11.3 	 0.299745
11.4 	 0.393491
11.5 	 0.483305
11.6 	 0.56829
11.7 	 0.647596
11.8 	 0.720432
11.9 	 0.78607
12 	 0.843854
12.1 	 0.893206
12.2 	 0.933634
12.3 	 0.964733
12.4 	 0.986192
12.5 	 0.997798
12.6 	 0.999435
12.7 	 0.991085
12.8 	 0.972833
12.9 	 0.94486
13 	 0.907447
13.1 	 0.860967
13.2 	 0.805884
13.3 	 0.742749
13.4 	 0.672193
13.5 	 0.594921
13.6 	 0.511704
13.7 	 0.423375
13.8 	 0.330815
13.9 	 0.23495
14 	 0.136737
14.1 	 0.0371584
14.2 	 -0.0627917
14.3 	 -0.162114
14.4 	 -0.259817
14.5 	 -0.354924
14.6 	 -0.446485
14.7 	 -0.533584
14.8 	 -0.615352
14.9 	 -0.690972
15 	 -0.759688
15.1 	 -0.820813
15.2 	 -0.873737
15.3 	 -0.917931
15.4 	 -0.952953
15.5 	 -0.978453
15.6 	 -0.994178
15.7 	 -0.999968
15.8 	 -0.995768
15.9 	 -0.981618
16 	 -0.957659
